id,data
1195,6
3819,6
3940,6
3937,6
1066,6
1205,6
1165,6
3811,6
1191,6
3951,6
3788,6
1263,6
3618,6
1242,6
1246,6
1030,6
1348,6
3957,6
1111,6
3722,6
3663,6
3617,6
3860,6
1336,6
1112,6
1122,6
3962,6
3725,6
1337,6
3732,6
3749,6
1269,6
1091,6
3843,6
3588,6
1093,6
1278,6
1158,6
1155,6
3767,6
3977,6
3842,6
1326,6
3709,6
3895,6
1143,6
3846,6
3894,6
3893,6
1237,6
3614,6
1024,6
1060,6
2500,6
2053,6
1723,6
3246,6
3234,6
2573,6
2941,6
1703,6
3218,6
1705,6
2130,6
2132,6
1938,6
2588,6
2138,6
2247,6
2139,6
1741,6
2244,6
2959,6
2242,6
2736,6
1684,6
1752,6
1654,6
3297,6
2740,6
1644,6
1948,6
2690,6
1947,6
3286,6
1653,6
3276,6
3254,6
2932,6
1660,6
2558,6
1941,6
3265,6
2565,6
3257,6
3256,6
1744,6
1754,6
3310,6
3052,6
1822,6
2646,6
1874,6
2650,6
3063,6
3060,6
3058,6
3006,6
2166,6
2159,6
3045,6
3042,6
2674,6
2187,6
2183,6
2682,6
1865,6
1859,6
2700,6
3096,6
2237,6
2972,6
3170,6
3163,6
2145,6
3157,6
2961,6
3150,6
3148,6
2970,6
1781,6
2640,6
3129,6
1785,6
1907,6
2711,6
3114,6
1798,6
2220,6
2636,6
2920,6
2926,6
3312,6
1510,6
3501,6
2843,6
2010,6
3490,6
1476,6
3484,6
2065,6
2392,6
2450,6
2458,6
2001,6
3320,6
3458,6
3456,6
2371,6
1508,6
3439,6
2399,6
2430,6
3507,6
2406,6
1390,6
1396,6
2037,6
3569,6
2031,6
1404,6
1407,6
3542,6
3508,6
3536,6
3534,6
1432,6
1443,6
2019,6
1453,6
2841,6
2365,6
2374,6
3365,6
3354,6
3373,6
3368,6
2874,6
2098,6
2763,6
3358,6
2516,6
1578,6
3349,6
2770,6
3348,6
1590,6
1597,6
2526,6
2917,6
2743,6
2123,6
2304,6
2767,6
2688,6
2347,6
1537,6
3396,6
2892,6
2492,6
2093,6
2479,6
2362,6
3407,6
1535,6
1139,5
1096,5
2731,5
2167,5
1097,5
2784,5
1130,5
2809,5
2128,5
2694,5
2055,5
2120,5
2715,5
2103,5
1101,5
2084,5
2075,5
2165,5
2148,5
1126,5
2801,5
2713,5
3884,5
2096,5
2086,5
3585,5
2687,5
2328,5
2484,5
3968,5
